ANO,MES,DIA,DIA_SEMANA,FECHAS_IMPORT
2018,5,2,3,0
2018,5,3,4,0
2018,5,4,5,0
2018,5,5,6,0
2018,5,6,7,0
2018,5,7,1,0
2018,5,8,2,0
2018,5,9,3,0
2018,5,10,4,0
2018,5,11,5,0
2018,5,12,6,0
2018,5,13,7,0
2018,5,14,1,0
2018,5,15,2,0
2018,5,16,3,0
2018,5,17,4,0
2018,5,18,5,1
2018,5,19,6,1
2018,5,20,7,1
2018,5,21,1,1
2018,5,22,2,0
2018,5,23,3,0
2018,5,24,4,0
2018,5,25,5,0
2018,5,26,6,0
2018,5,27,7,0
2018,5,28,1,0
2018,5,29,2,0
2018,5,30,3,0
2018,5,31,4,0
2018,6,1,5,0
2018,6,2,6,0
2018,6,3,7,0
2018,6,4,1,0
2018,6,5,2,0
2018,6,6,3,0
2018,6,7,4,0
2018,6,8,5,0
2018,6,9,6,0
2018,6,10,7,0
2018,6,11,1,0
2018,6,12,2,0
2018,6,13,3,0
2018,6,14,4,0
2018,6,15,5,0
2018,6,16,6,0
2018,6,17,7,0
2018,6,18,1,0
2018,6,19,2,0
2018,6,20,3,0
2018,6,21,4,0
2018,6,22,5,0
2018,6,23,6,0
2018,6,24,7,0
2018,6,25,1,0
2018,6,26,2,0
2018,6,27,3,0
2018,6,28,4,1
2018,6,29,5,1
2018,6,30,6,1
2018,7,1,7,1
2018,7,2,1,1
2018,7,3,2,0
2018,7,4,3,0
2018,7,5,4,0
2018,7,6,5,0
2018,7,7,6,0
2018,7,8,7,0
2018,7,9,1,0
2018,7,10,2,0
2018,7,11,3,0
2018,7,12,4,0
2018,7,13,5,0
2018,7,14,6,0
2018,7,15,7,0
2018,7,16,1,0
2018,7,17,2,0
2018,7,18,3,0
2018,7,19,4,0
2018,7,20,5,0
2018,7,21,6,0
2018,7,22,7,0
2018,7,23,1,0
2018,7,24,2,0
2018,7,25,3,0
2018,7,26,4,0
2018,7,27,5,0
2018,7,28,6,0
2018,7,29,7,0
2018,7,30,1,0
2018,7,31,2,0
2018,8,1,3,0
2018,8,2,4,0
2018,8,3,5,0
2018,8,4,6,0
2018,8,5,7,0
2018,8,6,1,0
2018,8,7,2,0
2018,8,8,3,0
2018,8,9,4,0
2018,8,10,5,0
2018,8,11,6,0
2018,8,12,7,0
2018,8,13,1,0
2018,8,14,2,0
2018,8,15,3,0
2018,8,16,4,0
2018,8,17,5,0
2018,8,18,6,0
2018,8,19,7,0
2018,8,20,1,0
2018,8,21,2,0
2018,8,22,3,0
2018,8,23,4,0
2018,8,24,5,0
2018,8,25,6,0
2018,8,26,7,0
2018,8,27,1,0
2018,8,28,2,0
2018,8,29,3,0
2018,8,30,4,0
2018,8,31,5,0
2018,9,1,6,0
2018,9,2,7,0
2018,9,3,1,0
2018,9,4,2,0
2018,9,5,3,0
2018,9,6,4,0
2018,9,7,5,0
2018,9,8,6,0
2018,9,9,7,0
2018,9,10,1,1
2018,9,11,2,1
2018,9,12,3,1
2018,9,13,4,1
2018,9,14,5,1
2018,9,15,6,1
2018,9,16,7,1
2018,9,17,1,1
2018,9,20,4,0
2018,9,21,5,0
2018,9,22,6,0
2018,9,23,7,0
2018,9,24,1,0
2018,9,25,2,0
2018,9,26,3,0
2018,9,27,4,0
2018,9,28,5,0
2018,9,29,6,0
2018,9,30,7,0
2018,10,1,1,0
2018,10,2,2,0
2018,10,3,3,0
2018,10,4,4,0
2018,10,5,5,0
2018,10,6,6,0
2018,10,7,7,0
2018,10,8,1,0
2018,10,9,2,0
2018,10,10,3,0
2018,10,11,4,0
2018,10,12,5,0
2018,10,13,6,0
2018,10,14,7,0
2018,10,15,1,0
2018,10,16,2,0
2018,10,17,3,0
2018,10,18,4,0
2018,10,19,5,0
2018,10,20,6,0
2018,10,21,7,0
2018,10,22,1,0
2018,10,23,2,0
2018,10,24,3,0
2018,10,25,4,0
2018,10,26,5,0
2018,10,27,6,0
2018,10,28,7,0
2018,10,29,1,0
2018,10,30,2,0
2018,10,31,3,1
2018,11,1,4,1
2018,11,2,5,1
2018,11,3,6,1
2018,11,4,7,0
2018,11,5,1,0
2018,11,6,2,0
2018,11,7,3,0
2018,11,8,4,0
2018,11,9,5,0
2018,11,10,6,0
2018,11,11,7,0
2018,11,12,1,0
2018,11,13,2,0
2018,11,14,3,0
2018,11,15,4,0
2018,11,16,5,0
2018,11,17,6,0
2018,11,18,7,0
2018,11,19,1,0
2018,11,20,2,0
2018,11,21,3,0
2018,11,22,4,0
2018,11,23,5,0
2018,11,24,6,0
2018,11,25,7,0
2018,11,26,1,0
2018,11,27,2,0
2018,11,28,3,0
2018,11,29,4,0
2018,11,30,5,0
